date,cust_email,cust_location,product_id,product_quantity
2020-01-01,yo@outlook.com,85637,JKW0P0290HDU,4
2020-01-01,yo@outlook.com,85637,2MA4NTR90D3T,1
2020-01-01,gio@msn.com,32500,YMKGCFPW2I9R,3
2020-01-01,gio@msn.com,32500,T2HQXS41YQ99,1
2020-01-01,pra@yahoo.com,54557,35T06PHVLWV7,3
2020-01-01,tae@hotmail.com,84049,MML7S7IOA1AW,2
2020-01-01,tae@hotmail.com,84049,V2WRXY154BW6,2
2020-01-01,tae@hotmail.com,84049,GW89CDCSAGXJ,3
2020-01-01,yemp@gmail.com,17205,CB24EFYXB55B,1
2020-01-01,tiask@yahoo.com,15628,6XCBEK8QXRFY,1
2020-01-02,chiu@gmail.com,13060,198BKGR5C2YQ,1
2020-01-02,chiu@gmail.com,13060,8UJZI1MNARWT,2
2020-01-02,saust@hotmail.com,38813,3R8YXZCS820Y,2
2020-01-02,saust@hotmail.com,38813,UF91WPMROFIW,2
2020-01-02,tuh@live.com,01436,UMV8BFU4R3CW,1
2020-01-02,tuh@live.com,01436,KM75FS36T2Y4,1
2020-01-02,yoi@live.com,27934,PSPEFL36KB3O,2
2020-01-02,yoi@live.com,27934,MFEP629NADRP,1
2020-01-02,yoi@live.com,27934,4QPNIX0SJ6RR,1
2020-01-02,yoi@live.com,27934,XFCS4PX4DRK6,2
2020-01-02,fluf@yahoo.com,24145,LSKQQL8O2MUB,3
2020-01-03,grai@hotmail.com,51373,HWERB4V73WVK,2
2020-01-03,grai@hotmail.com,51373,GJORFTY4T4HU,1
2020-01-03,grai@hotmail.com,51373,7EUUAQBNTYPW,1
2020-01-03,grai@hotmail.com,51373,PI3LA8P5R68Z,1
2020-01-03,waask@hotmail.com,64712,WJ4KNWSBI0HD,1
2020-01-03,waask@hotmail.com,64712,KHD9V4H45EPY,2
2020-01-03,waask@hotmail.com,64712,FMS1LTKLL88Y,1
2020-01-03,waask@hotmail.com,64712,95A3LT0ZG744,2
2020-01-03,waask@hotmail.com,64712,IPWFXMR8SGA2,3
2020-01-03,sneo@icloud.com,73417,3HZZHZA20TIR,2
2020-01-03,ryct@gmail.com,60583,9NPM2LBKYI9K,1
2020-01-03,ryct@gmail.com,60583,N8SCD44PDI9I,2
2020-01-03,ryct@gmail.com,60583,TJFQ106W9AFN,1
2020-01-03,slie@msn.com,38813,LDV5CP1B70MK,1
2020-01-03,munt@aol.com,85440,CAQNEUSZ57C6,1
2020-01-04,claz@icloud.com,07016,7QVJT2T58C9H,1
2020-01-04,blyd@outlook.com,33887,6J8B0ZQ4W9LO,1
2020-01-04,blyd@outlook.com,33887,QBP2CAO1B3DQ,1
2020-01-04,glut@live.com,40553,FA5I8QOD9T17,4
2020-01-04,ploew@aol.com,64026,97FXMIVF4IYF,1
2020-01-04,ploew@aol.com,64026,LV11MMU9X1ZI,1
2020-01-04,vee@outlook.com,85440,MIXTC1R6PEHK,2
2020-01-04,vee@outlook.com,85440,PBKUWKNGXYEY,1
2020-01-04,mia@hotmail.com,61481,5U6TZ0JCWP09,1
2020-01-05,fa@gmail.com,42553,DST0CCCZ2W7G,3
2020-01-05,fa@gmail.com,42553,N3Y795WINBKV,3
2020-01-05,clae@hotmail.com,47691,F56RDY30S7NB,1
2020-01-06,pui@yahoo.com,68246,A286WO2PW0UU,2
2020-01-06,pui@yahoo.com,68246,FYJNAT11UTAU,4
2020-01-07,snod@gmail.com,19670,1TCY1LHYAMMQ,3
2020-01-07,slao@aol.com,58094,8HY5V188JC76,1
2020-01-07,slao@aol.com,58094,3FT9O0MMI0WT,1
2020-01-08,shab@hotmail.com,69985,8DAGSRZGN61L,4
2020-01-08,shab@hotmail.com,69985,ID40B35W19BG,1
2020-01-08,shab@hotmail.com,69985,5B8YP35LWT8I,2
2020-01-08,chu@msn.com,62000,9MYAG06YAOUH,1
2020-01-09,jua@hotmail.com,45876,OUTA6RZ31E3B,1
2020-01-09,swuing@icloud.com,66110,6IEWQAIFCMBX,1
2020-01-09,swuing@icloud.com,66110,MKL544JY8MTJ,2
2020-01-09,cleo@inbox.com,09071,4F21LQFD6UHE,4
2020-01-09,bosk@hotmail.com,14948,66KYY47R647L,2
2020-01-10,beu@yahoo.com,85142,R7MHT76K7ICD,1
2020-01-10,gloul@msn.com,04383,1ZV3WX4EJ0OY,2
2020-01-10,ra@hotmail.com,36489,JXD76DRE1RNO,2
