date,cust_email,cust_location,product_id,product_quantity
2020-01-01,hiamp@gmail.com,00892,LDV5CP1B70MK,2
2020-01-01,flaach@aol.com,54511,CAQNEUSZ57C6,3
2020-01-01,flaach@aol.com,54511,2XORW6XJKZFQ,2
2020-01-01,flaach@aol.com,54511,09YMSPE0UOOJ,4
2020-01-01,sho@hotmail.com,13645,M8OGBPMUTFN8,1
2020-01-01,sho@hotmail.com,13645,3X0F9YUS4VD9,1
2020-01-01,smai@gmail.com,34208,3GTDW60ZOUI9,1
2020-01-01,smai@gmail.com,34208,FX5LMVNWYO5E,2
2020-01-01,stiu@icloud.com,47420,7QVJT2T58C9H,2
2020-01-01,gyl@msn.com,53420,6J8B0ZQ4W9LO,1
2020-01-01,gyl@msn.com,53420,QBP2CAO1B3DQ,1
2020-01-01,gyl@msn.com,53420,FA5I8QOD9T17,2
2020-01-01,gyl@msn.com,53420,97FXMIVF4IYF,1
2020-01-01,glo@yahoo.com,28911,LV11MMU9X1ZI,1
2020-01-01,gor@yahoo.com,51652,MIXTC1R6PEHK,2
2020-01-01,gor@yahoo.com,51652,PBKUWKNGXYEY,3
2020-01-01,gor@yahoo.com,51652,5U6TZ0JCWP09,3
2020-01-01,gor@yahoo.com,51652,Z8AP3VP5HY8S,1
2020-01-01,faind@mail.com,76113,6VVI2CE69AWI,1
2020-01-01,faind@mail.com,76113,DST0CCCZ2W7G,4
2020-01-01,faind@mail.com,76113,N3Y795WINBKV,5
2020-01-01,chish@gmail.com,76486,F56RDY30S7NB,1
2020-01-01,dei@aol.com,27934,F56RDY30S7NB,3
2020-01-01,dei@aol.com,27934,A286WO2PW0UU,1
2020-01-01,dei@aol.com,27934,FYJNAT11UTAU,1
2020-01-01,dei@aol.com,27934,5VU8UVHAVYZJ,2
2020-01-01,roe@inbox.com,00892,OA4S73DJTVOX,1
2020-01-01,roe@inbox.com,00892,1TCY1LHYAMMQ,1
2020-01-01,yei@yahoo.com,08863,8HY5V188JC76,1
2020-01-01,yei@yahoo.com,08863,3FT9O0MMI0WT,1
2020-01-01,snionk@icloud.com,58248,OU7ZLM2KZBJK,2
2020-01-01,snionk@icloud.com,58248,LDPIXXFWMXPK,1
2020-01-01,snionk@icloud.com,58248,8DAGSRZGN61L,2
2020-01-01,snionk@icloud.com,58248,ID40B35W19BG,3
2020-01-01,cheft@live.com,75211,5B8YP35LWT8I,2
2020-01-01,taush@hotmail.com,85440,9MYAG06YAOUH,1
2020-01-01,glu@hotmail.com,58707,JV6UW271LEOG,2
2020-01-01,tact@hotmail.com,05756,DX65K70JLHQT,1
2020-01-01,tact@hotmail.com,05756,GYKEKERPBSVN,1
2020-01-02,yae@hotmail.com,55708,CJSKV5J4LRT1,3
2020-01-02,lui@gmail.com,69642,DX43YWXYTJZ2,3
2020-01-02,lui@gmail.com,69642,R7MHT76K7ICD,1
2020-01-02,lui@gmail.com,69642,1ZV3WX4EJ0OY,1
2020-01-02,lui@gmail.com,69642,JXD76DRE1RNO,1
2020-01-02,clae@hotmail.com,42206,T1MDLW1UUQ4S,2
2020-01-02,clae@hotmail.com,42206,R7IADM096JYW,2
2020-01-02,clae@hotmail.com,42206,FR8QZ0IFWUTP,4
2020-01-02,clae@hotmail.com,42206,0MBJ9S8IJ6QO,1
2020-01-02,dua@outlook.com,12344,CYUF2JFWE17W,1
2020-01-02,dua@outlook.com,12344,AQW061UG0SZ5,1
2020-01-02,gruach@yahoo.com,51519,VQCXDV3YF5PG,1
2020-01-02,spusp@yahoo.com,37130,CM47ZEOPF9PL,2
2020-01-02,pish@inbox.com,81153,I2DA8IB3J8BK,3
2020-01-02,pish@inbox.com,81153,6RA3RFBBL2UB,1
2020-01-02,praint@gmail.com,49085,2DJ63B3NC4ZV,1
2020-01-02,praint@gmail.com,49085,WWNTPWZ1I4UP,1
2020-01-02,woe@msn.com,90657,VYL2P5J40FM5,1
2020-01-02,woe@msn.com,90657,9B8WXMB58XKW,3
2020-01-02,woe@msn.com,90657,CN6BWBT2Q7OH,1
2020-01-02,woe@msn.com,90657,L2AYJ1ZC9WI2,4
2020-01-02,woe@msn.com,90657,RS4US7P5HMPH,1
2020-01-02,sy@msn.com,30717,F9N74L3TEWXL,2
2020-01-02,be@inbox.com,08325,DU6LAABEV5DI,1
2020-01-02,be@inbox.com,08325,X00ROYD3XH8A,2
2020-01-02,sly@hotmail.com,32337,T0R02IKAGWFK,1
2020-01-02,muo@hotmail.com,53586,CVMYFKV30YCF,1
2020-01-02,frisp@gmail.com,28590,SZRZQZZ5RLDI,2
2020-01-02,frisp@gmail.com,28590,2U8OOQ01KUU1,1
2020-01-02,floint@inbox.com,40941,Y87UER99FEXE,1
2020-01-02,floint@inbox.com,40941,QMWR0MKA3JWC,1
2020-01-02,sloo@gmail.com,77261,HUI0QJ6ZE9CW,1
2020-01-03,skeaft@inbox.com,30202,KHXR2E55WBKE,2
2020-01-03,froef@gmail.com,25006,ZGXPY8CD1U0C,1
2020-01-03,froef@gmail.com,25006,PRXXW5BAFFLY,2
2020-01-03,froef@gmail.com,25006,KPYDPML7XV4I,3
2020-01-03,froef@gmail.com,25006,1BX72X1ID3QO,1
2020-01-03,froef@gmail.com,25006,T856U7H7I7MD,2
2020-01-03,froef@gmail.com,25006,0FFBHNZ8QN0T,1
2020-01-03,piur@yahoo.com,76113,Y5U50TJ1VOUF,1
2020-01-03,piur@yahoo.com,76113,UU3SIF9JNCSS,1
2020-01-03,le@hotmail.com,30569,V4HCLVQTRKCT,1
2020-01-03,le@hotmail.com,30569,YO3MHDB2DBZ2,1
2020-01-03,le@hotmail.com,30569,ISL79R6HV644,4
2020-01-03,le@hotmail.com,30569,IR5CORAYURXW,3
2020-01-03,fraal@aol.com,97690,NFGS6HK34RD8,1
2020-01-03,fraal@aol.com,97690,5PGF4UN0ZT6X,1
2020-01-03,fraal@aol.com,97690,MI1G6BGDFRF7,3
2020-01-03,fraal@aol.com,97690,LK2FCIUZ2NB1,2
2020-01-03,drank@hotmail.com,20264,I8T55WG7NWF8,1
2020-01-03,drank@hotmail.com,20264,OEDF0S71GL9O,1
2020-01-03,keo@gmail.com,98035,9Q43HGGS8VT0,1
2020-01-03,bat@aol.com,50673,LRLE9O6AUBWX,3
2020-01-03,fopt@gmail.com,47210,22BMD5L2X11B,3
2020-01-03,fopt@gmail.com,47210,H827I5PWEK5H,3
2020-01-03,fopt@gmail.com,47210,GYBLRSUI0CTX,6
2020-01-03,drech@gmail.com,19232,ATP3NKZHK8LA,2
2020-01-03,drisk@inbox.com,32726,UVWT4MM5G21S,2
2020-01-03,drisk@inbox.com,32726,AX0L09739J3E,2
2020-01-03,meast@hotmail.com,77261,0372232FXWMD,1
2020-01-03,climp@gmail.com,69405,5LIS4VU9G2HJ,4
2020-01-03,climp@gmail.com,69405,EBPRS0XXD4XT,1
2020-01-03,freank@yahoo.com,75599,KRF6KMHXBF10,2
2020-01-03,freank@yahoo.com,75599,98KQF5PWFDRC,2
2020-01-03,freank@yahoo.com,75599,0OBWCJL74KFU,2
2020-01-03,beeft@outlook.com,59494,IEROYLL7ZIPK,3
2020-01-03,beeft@outlook.com,59494,RNIVV19HOZVF,3
2020-01-03,slaen@gmail.com,73417,61HBUQG91Z7V,1
2020-01-04,feint@yahoo.com,21877,8QIZG4P5TYP0,1
2020-01-04,feint@yahoo.com,21877,PIU495G9KQXS,1
2020-01-04,feint@yahoo.com,21877,DM0SBZ7L91R6,1
2020-01-04,feint@yahoo.com,21877,X5AYAU5MQY6N,1
2020-01-04,feint@yahoo.com,21877,AGU3INW067SN,1
2020-01-04,feint@yahoo.com,21877,E2AIDYFJMC6H,1
2020-01-04,gruh@inbox.com,64663,24SLLUV9B1FU,3
2020-01-04,troe@mail.com,76428,FYI9JQCB9M1O,2
2020-01-04,moe@aol.com,74599,3S9HADN6F7NY,1
2020-01-04,sty@aol.com,91677,MXLTR2R3K1NL,1
2020-01-04,stoong@yahoo.com,98527,N51YYCDLIUIW,2
2020-01-04,peesh@live.com,54788,Y1VCPIUHJHFX,2
2020-01-04,snia@icloud.com,85901,UITFGM1ZZ18C,3
2020-01-04,snia@icloud.com,85901,6AUYAPI5E289,1
2020-01-04,snia@icloud.com,85901,RQENEWXTXVOO,1
2020-01-04,streink@aol.com,94022,PJBWYXZFZ1OU,1
2020-01-04,streink@aol.com,94022,TJ2KRM91LLQ0,1
2020-01-04,streink@aol.com,94022,IJND88O9VPCD,3
2020-01-04,nich@yahoo.com,82610,HLOXRLM0ZECD,4
2020-01-04,nich@yahoo.com,82610,B1BC5K0F3QTX,2
2020-01-04,tai@aol.com,27499,S1CCIGQVV9KI,1
2020-01-04,tai@aol.com,27499,DP3LUW2ID6JG,1
2020-01-04,tai@aol.com,27499,2IVJ5ZWNHZIR,1
